strain	virus	date	accesion	host	country	region	db	segment	url	
TR94-86_turkey_1994	CABYV	1994-XX-XX	MT219992.1	Bottle gourd	Turkey	Ordu	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219992.1	
TR94-39_turkey_1994	CABYV	1994-XX-XX	MT219991.1	Zucchini	Turkey	Antalya	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219991.1	
TR94-36_turkey_1994	CABYV	1994-XX-XX	MT219990.1	Zucchini	Turkey	Antalya	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219990.1	
TR94-33_turkey_1994	CABYV	1994-XX-XX	MT219989.1	Zucchini	Turkey	Antalya	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219989.1	
TR94-20_turkey_1994	CABYV	1994-XX-XX	MT219988.1	Cucumber	Turkey	Ula	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219988.1	
N_France_1994	CABYV	1994-XX-XX	NC_003688.1		France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/NC_003688.1	
Sq_2003_8.3_spain_2003	CABYV	2003-XX-XX	JF939734.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939734.1	
Sq_2003_8.1_spain_2003	CABYV	2003-XX-XX	JF939733.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939733.1	
Sq_2003_4.6_spain_2003	CABYV	2003-XX-XX	JF939732.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939732.1	
Sq_2003_3.3_spain_2003	CABYV	2003-XX-XX	JF939731.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939731.1	
Sq_2003_3.1_spain_2003	CABYV	2003-XX-XX	JF939730.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939730.1	
Sq_2003_5_spain_2003	CABYV	2003-XX-XX	JF939729.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939729.1	
M_2003_39.9_spain_2003	CABYV	2003-XX-XX	JF939727.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939727.1	
M_2003_37.2_spain_2003	CABYV	2003-XX-XX	JF939726.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939726.1	
M_2003_36.8_spain_2003	CABYV	2003-XX-XX	JF939725.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939725.1	
M_2003_24.6_spain_2003	CABYV	2003-XX-XX	JF939724.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939724.1	
M_2003_24.2_spain_2003	CABYV	2003-XX-XX	JF939723.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939723.1	Saudi Arabia
M_2003_13.7_spain_2003	CABYV	2003-XX-XX	JF939722.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939722.1	
M_2003_12.7_spain_2003	CABYV	2003-XX-XX	JF939721.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939721.1	
M_2003_11.5_spain_2003	CABYV	2003-XX-XX	JF939720.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939720.1	
CABYV-ES3_spain_2003	CABYV	2003-XX-XX	GU002333.1	Melon	Spain 	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU002333.1	
CABYV-ES2_spain_2003	CABYV	2003-XX-XX	GU002332.1	Melon	Spain 	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU002332.1	
Sq_2003_7.2_Spain	CABYV	2003-XX-XX	JF939812.1	Zucchini	Spain 	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939812.1	
Sq/2004/9.8_spain_2004	CABYV	2004-XX-XX	JF939749.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939749.1	
Sq/2004/5.8_spain_2004	CABYV	2004-XX-XX	JF939748.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939748.1	
Sq/2004/5.5_spain_2004	CABYV	2004-XX-XX	JF939747.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939747.1	
Sq/2004/2.6_spain_2004	CABYV	2004-XX-XX	JF939746.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939746.1	
Sq/2004/2.3_spain_2004	CABYV	2004-XX-XX	JF939745.1	Zucchini	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939745.1	
M/2004/39.14_spain_2004	CABYV	2004-XX-XX	JF939744.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939744.1	
M/2004/31.9_spain_2004	CABYV	2004-XX-XX	JF939743.1	Melon	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JF939743.1	
